datetime,PRECTOTCORR_z,discharge_cfs_z
20-01-2004,-0.456924515,0.732699289
21-01-2004,-0.458099042,0.21624994
22-01-2004,-0.458099042,0.007518328
23-01-2004,-0.458099042,-0.073176882
24-01-2004,0.230173407,-0.117828232
25-01-2004,2.302037913,0.243148344
26-01-2004,-0.434608515,1.469715547
27-01-2004,-0.438132094,1.776357348
28-01-2004,-0.458099042,1.593448203
29-01-2004,-0.427561356,0.66276344
30-01-2004,-0.144500503,0.248528024
31-01-2004,-0.458099042,0.031188924
01-02-2004,-0.395849145,-0.039822862
02-02-2004,-0.381754828,-0.083936244
03-02-2004,-0.458099042,-0.116214328
04-02-2004,-0.394674618,-0.142574764
05-02-2004,3.693851653,-0.001089161
06-02-2004,4.528517068,3.941356055
07-02-2004,-0.458099042,3.941356055
08-02-2004,-0.458099042,3.941356055
09-02-2004,-0.448702831,3.941356055
10-02-2004,0.117418876,2.298186377
11-02-2004,4.183629147,1.5665498
12-02-2004,0.527328577,3.941356055
13-02-2004,-0.164467451,3.941356055
14-02-2004,1.025327755,3.304186671
15-02-2004,-0.312457773,2.594068816
16-02-2004,-0.458099042,2.013063299
17-02-2004,-0.456924515,1.539651396
18-02-2004,-0.458099042,0.851052265
19-02-2004,-0.458099042,0.447576211
20-02-2004,-0.458099042,0.296945151
21-02-2004,-0.458099042,0.200110898
22-02-2004,-0.458099042,0.119415687
23-02-2004,4.299907257,0.495993337
24-02-2004,0.500314471,1.711801179
25-02-2004,3.029069732,2.857673172
26-02-2004,-0.384103881,3.756079851
27-02-2004,-0.458099042,3.137416569
28-02-2004,-0.456924515,2.588689136
29-02-2004,-0.447528305,1.200731511
01-03-2004,-0.061109131,0.436816849
02-03-2004,-0.204401347,0.264667067
03-03-2004,-0.435783041,0.194731217
04-03-2004,-0.364136933,0.14093441
05-03-2004,0.536724788,0.097896964
06-03-2004,1.598496621,1.017822367
07-03-2004,-0.436957567,2.179833401
08-03-2004,-0.458099042,2.836154449
09-03-2004,-0.458099042,1.803255751
10-03-2004,-0.458099042,0.66276344
11-03-2004,-0.458099042,0.243148344
12-03-2004,-0.458099042,0.05163171
13-03-2004,-0.458099042,-0.015076331
14-03-2004,-0.318330405,-0.05703784
15-03-2004,-0.261953139,-0.075328755
16-03-2004,-0.062283657,-0.072638914
17-03-2004,-0.442830199,-0.088239988
18-03-2004,-0.458099042,-0.114062456
19-03-2004,-0.458099042,-0.139884923
20-03-2004,-0.456924515,-0.159251774
21-03-2004,-0.456924515,-0.17700472
22-03-2004,-0.458099042,-0.196909539
23-03-2004,-0.458099042,-0.210896709
24-03-2004,-0.458099042,-0.219504198
25-03-2004,-0.458099042,-0.22434591
26-03-2004,-0.458099042,-0.229187623
27-03-2004,-0.458099042,-0.23564324
28-03-2004,-0.458099042,-0.242636825
29-03-2004,-0.095170395,-0.240484953
30-03-2004,-0.446353778,-0.16301755
31-03-2004,-0.458099042,-0.177542688
01-04-2004,-0.458099042,-0.231339495
02-04-2004,-0.458099042,-0.251244314
03-04-2004,-0.458099042,-0.262541644
04-04-2004,-0.458099042,-0.271149133
05-04-2004,-0.458099042,-0.278142718
06-04-2004,-0.458099042,-0.282446462
07-04-2004,0.185541405,-0.286212239
08-04-2004,-0.266651245,-0.267921324
09-04-2004,-0.458099042,-0.275990845
10-04-2004,-0.18091082,-0.288902079
11-04-2004,0.894955329,-0.293743792
12-04-2004,0.295946884,-0.28298443
13-04-2004,-0.388801986,-0.253934154
14-04-2004,-0.458099042,-0.22434591
15-04-2004,-0.456924515,-0.244250729
16-04-2004,-0.458099042,-0.26899726
17-04-2004,-0.458099042,-0.288364111
18-04-2004,-0.458099042,-0.301813313
19-04-2004,-0.458099042,-0.31095877
20-04-2004,-0.458099042,-0.317952355
21-04-2004,-0.451051884,-0.322256099
